timestamp,indoor_temp,indoor_humidity,outdoor_temp,outdoor_humidity,wind_dir,mode,open_windows,user_feedback
2026-04-29 16:21:53,30.9,76.3,28.98,70,100,VENTILATE,"W4-ArijitOffice-E,W1-HALL-W",good
2026-04-29 16:32:06,30.9,76.5,28.98,70,100,VENTILATE,"W4-ArijitOffice-E,W1-HALL-W",good
